Date,Nifty50,IndiaVIX,USDINR,Nifty_Return,ret_1d,ret_5d,ret_21d,ret_63d,ma_50,ma_200,ma_50_200_ratio,above_200dma,vol_21d,vol_63d,vol_ratio,vix_level,vix_change_5d,vix_zscore,inr_change_21d
2024-11-14,84.4229965209961,14.779999732971191,23532.69921875,0.0003281545483169,0.0003281545483169,0.0020391247900362064,0.0043637281852166865,0.005654590743553456,83.99163589477538,83.54319198608398,0.00536780912999002,1,0.0069304404992044,0.01200926725913046,0.5770429874435752,14.779999732971191,-0.010709494772824124,0.15890528129715997,-0.057610197206073965
2024-11-18,84.47750091552734,15.170000076293944,23453.80078125,4.380359731404049e-05,4.380359731404049e-05,0.0020295545568012052,0.005214249874196497,0.007005617881473469,84.00153594970703,83.55010398864746,0.0054031286558411384,1,0.006799255894808123,0.01190510108438728,0.5710732545118511,15.170000076293944,0.0483759361677516,0.3018309724227532,-0.05236592741291124
2024-11-19,84.39849853515625,15.65999984741211,23518.5,-0.0009351884172105,-0.0009351884172105,0.00018489661386045242,0.004100897695400896,0.006198213302073041,84.009833984375,83.55598949432373,0.005431621273327414,1,0.00789017010311875,0.01207388667299429,0.6534363689528667,15.65999984741211,0.09740710196629321,0.4832913491016521,-0.05373573881395399
2024-11-21,84.38310241699219,15.989999771118164,23349.900390625,-0.000171756660226,-0.000171756660226,-0.00015874137973737046,0.003739795062243534,0.0072058131701151495,84.01784408569335,83.5624169921875,0.0054501426586122115,1,0.007976259012635323,0.011810497404918182,0.6752961744980864,15.989999771118164,0.09595610718907022,0.6037053967787634,-0.05775366070553867
2024-11-22,84.48829650878906,16.100000381469727,23907.25,0.0012466250799483,0.0012466250799483,0.001101894156869232,0.004933717688042183,0.007148686178924724,84.02799194335938,83.56925197601318,0.005489339158831763,1,0.00882174319268598,0.011787429935799999,0.7483391122252372,16.100000381469727,0.04274616703519629,0.6398341290404753,-0.023081370964942116
2024-11-25,84.43599700927734,15.300000190734863,24221.900390625,-0.0006190147236105,-0.0006190147236105,0.00015399226297319046,0.00418625870583389,0.005901786378110341,84.0370718383789,83.57566646575928,0.0055208099693546675,1,0.009273170265044216,0.01182379282185421,0.7842141849543305,15.300000190734863,0.035182710903820746,0.3266062485414851,-0.00874136438276274
2024-11-26,84.37750244140625,15.3100004196167,24194.5,-0.0006927681314009,-0.0006927681314009,-0.0011837290762316544,0.0036863907022366416,0.006725687947959802,84.04476989746094,83.58200546264648,0.005536651486799604,1,0.009672376366080515,0.011486108628254612,0.8420201008885355,15.3100004196167,0.009228763521335281,0.3250493524379904,-0.008397763360763921
2024-11-27,84.33910369873047,14.630000114440918,24274.900390625,-0.0004550827123905,-0.0004550827123905,-0.0007037428088965125,0.003060131007180056,0.005429019016619074,84.05285598754882,83.58843299865723,0.0055560676547083965,1,0.0098937785618072,0.011435414270750534,0.8651119422204968,14.630000114440918,-0.06577265281017253,0.05668774643526985,0.0038915009567410674
2024-11-28,84.42030334472656,15.210000038146973,23914.150390625,0.000962775775827,0.000962775775827,0.00044085754930578425,0.0037847611135457537,0.00594248680790832,84.06356597900391,83.59589653015136,0.005594406762344795,1,0.010314339604490304,0.011550139837103417,0.8929282953842888,15.210000038146973,-0.04878047180338685,0.2765784969080331,-0.017461579109339098
2024-11-29,84.47160339355469,14.43000030517578,24131.099609375,0.0006076743010343,0.0006076743010343,-0.00019757902483730216,0.004385168369963832,0.006315179079435573,84.07531799316406,83.60325805664063,0.005646429905920902,1,0.010417870654162307,0.011594782637081386,0.898418932142423,14.43000030517578,-0.10372671035561165,-0.03173001023652755,-0.013722649436294865
2024-12-02,84.55699920654297,14.699999809265137,24276.05078125,0.0010109410684489,0.0010109410684489,0.0014330641142583644,0.005561910160752026,0.00788956357043391,84.09104598999023,83.610524559021,0.005747140488635782,1,0.01072076653539001,0.011668208018621446,0.9187227203664606,14.699999809265137,-0.03921571071829566,0.0694403181376766,-0.002662143235133474
2024-12-03,84.73709869384766,14.369999885559082,24457.150390625,0.0021299181498242,0.0021299181498242,0.00426175511287652,0.007706051873721753,0.010413296851693676,84.11195388793945,83.61885704040527,0.0058969575163638766,1,0.012516957100380382,0.012305919547962918,1.0170666226913159,14.369999885559082,-0.061397812429397125,-0.06330427842367839,0.010402691360114735
2024-12-04,84.68309783935547,14.449999809265137,24467.44921875,-0.0006372752351043,-0.0006372752351043,0.004078702826316283,0.007035176152946576,0.009005393290989261,84.1333218383789,83.62720951080323,0.006052005448182518,1,0.01292988254956806,0.012340811465222989,1.0476486847981878,14.449999809265137,-0.012303506751042859,-0.03544465351489496,0.006710716887979862
2024-12-05,84.70700073242188,14.529999732971191,24708.400390625,0.0002822628561811,0.0002822628561811,0.003396071517589805,0.006815379541383448,0.00901364961475104,84.15771987915039,83.63581802368164,0.00624017158917467,1,0.012910590892468966,0.012341224871353924,1.0460505319777644,14.529999732971191,-0.044707449274840716,-0.008185662484036007,0.02971620721756052
2024-12-06,84.68379974365234,14.140000343322754,24677.80078125,-0.0002738969455762,-0.0002738969455762,0.002512043593028812,0.006313578668283526,0.008350568154048554,84.18020385742187,83.64416450500488,0.006408568434979278,1,0.013059786788936307,0.012355258203429769,1.0569370252647567,14.140000343322754,-0.020097017028406272,-0.16664741301123528,0.01918367116472175
2024-12-09,84.66600036621094,14.109999656677246,24619.0,-0.0002101863342846,-0.0002101863342846,0.0012890850040896407,0.006534974311791508,0.008125438662313078,84.20217193603516,83.6525435256958,0.006570372963859983,1,0.01293243709179911,0.012370762474693677,1.0453188960143946,14.109999656677246,-0.04013606532266922,-0.183438039180855,0.005511719443636487
2024-12-10,84.84729766845703,13.779999732971191,24610.05078125,0.0021413235709957,0.0021413235709957,0.001300480855587427,0.007075268589355366,0.010296184503178596,84.22663589477538,83.66140701293945,0.006756148408411544,1,0.013733841079211167,0.0130165985011093,1.0550210991713127,13.779999732971191,-0.0410577701660807,-0.31720002228644345,0.016971578926893605
2024-12-11,84.8740005493164,13.270000457763672,24641.80078125,0.0003147169278592,0.0003147169278592,0.002254318923512688,0.006732633449071823,0.010634523865221457,84.25177383422852,83.6705615234375,0.006946437315688447,1,0.013675918696844808,0.013016550448568838,1.050575432826408,13.270000457763672,-0.08166085585308214,-0.5207481566421204,0.0204405122729292
